track 403: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 405: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 406: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 409: IDENTIFIED as 04 (UNKNOWN, conf=0.30)
track 410: IDENTIFIED as 19 (UNKNOWN, conf=0.24)
track 411: IDENTIFIED as 28 (UNKNOWN, conf=0.22)
track 417: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 418: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 419: IDENTIFIED as 19 (UNKNOWN, conf=0.27)
track 420: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 421: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 422: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 426: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 427: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 429: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 431: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 432: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
track 433: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 435: IDENTIFIED as 04 (UNKNOWN, conf=0.33)
track 436: IDENTIFIED as 19 (UNKNOWN, conf=0.26)
track 447: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 449: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 451: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 453: IDENTIFIED as 04 (UNKNOWN, conf=0.28)
track 456: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 459: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 460: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 462: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 463: IDENTIFIED as 04 (UNKNOWN, conf=0.57)
track 464: IDENTIFIED as 28 (CANDIDATE, conf=0.51)
track 468: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 469: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 470: IDENTIFIED as 19 (UNKNOWN, conf=0.33)
track 473: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 475: IDENTIFIED as 30 (CONFIRMED, conf=0.83)
track 479: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 480: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 481: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 482: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 484: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 485: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 487: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
track 492: IDENTIFIED as 28 (CANDIDATE, conf=0.50)
track 493: NOT RECOGNIZED — best sim 0.39 -> 28 (threshold 0.45)
track 494: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 497: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 499: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 500: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 502: NOT RECOGNIZED — face never detected (10 looks)
track 503: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 507: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 509: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 511: IDENTIFIED as 19 (UNKNOWN, conf=0.34)
track 514: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 517: IDENTIFIED as 04 (CANDIDATE, conf=0.58)
track 519: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 520: IDENTIFIED as 28 (LOCKED, conf=0.81)
track 521: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 525: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 526: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 527: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 529: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 530: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 532: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 534: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 536: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 538: IDENTIFIED as 04 (UNKNOWN, conf=0.36)
track 543: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 544: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 545: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 546: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 547: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 548: IDENTIFIED as 23 (CANDIDATE, conf=0.68)
track 550: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 552: IDENTIFIED as 19 (UNKNOWN, conf=0.36)
track 554: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
track 556: IDENTIFIED as 19 (UNKNOWN, conf=0.44)
track 557: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 559: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 562: IDENTIFIED as 04 (UNKNOWN, conf=0.40)
track 563: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 564: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 565: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 566: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.70)
track 567: IDENTIFIED as 04 (UNKNOWN, conf=0.38)
track 574: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 575: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 577: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 580: IDENTIFIED as 19 (UNKNOWN, conf=0.61)
track 583: NOT RECOGNIZED — face never detected (2 looks)
track 584: NOT RECOGNIZED — face never detected (13 looks)
track 585: NOT RECOGNIZED — best sim 0.29 -> 26 (threshold 0.45)
track 586: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 587: NOT RECOGNIZED — face never detected (7 looks)
track 588: IDENTIFIED as 04 (CANDIDATE, conf=0.37)
track 592: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 593: IDENTIFIED as 04 (UNKNOWN, conf=0.58)
track 594: NOT RECOGNIZED — face never detected (2 looks)
track 595: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 599: IDENTIFIED as 19 (UNKNOWN, conf=0.40)
track 600: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 602: NOT RECOGNIZED — face never detected (176 looks)
track 603: NOT RECOGNIZED — face never detected (10 looks)
track 604: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 606: NOT RECOGNIZED — face never detected (1 looks)
track 607: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 611: IDENTIFIED as 19 (UNKNOWN, conf=0.57)
track 615: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 616: NOT RECOGNIZED — best sim 0.23 -> 26 (threshold 0.45)
track 617: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 620: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 621: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
