track 618: NOT RECOGNIZED — face never detected (2 looks)
track 619: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 620: NOT RECOGNIZED — face never detected (1 looks)
track 622: NOT RECOGNIZED — face never detected (20 looks)
track 623: IDENTIFIED as 11 (UNKNOWN, conf=0.33)
track 624: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 625: NOT RECOGNIZED — face never detected (2 looks)
track 627: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 631: NOT RECOGNIZED — face never detected (10 looks)
track 632: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 635: IDENTIFIED as 11 (UNKNOWN, conf=0.64)
track 637: NOT RECOGNIZED — face never detected (5 looks)
track 639: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 640: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 644: IDENTIFIED as 11 (UNKNOWN, conf=0.42)
track 646: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 648: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 655: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 660: NOT RECOGNIZED — face never detected (5 looks)
track 667: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 668: NOT RECOGNIZED — face never detected (10 looks)
track 669: NOT RECOGNIZED — face never detected (3 looks)
track 670: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 674: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 676: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.65)
track 677: NOT RECOGNIZED — face never detected (3 looks)
track 679: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 685: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 688: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 695: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 696: NOT RECOGNIZED — face never detected (10 looks)
track 697: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 701: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 707: IDENTIFIED as 05 (UNKNOWN, conf=0.56)
track 708: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 714: NOT RECOGNIZED — face never detected (3 looks)
track 715: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 723: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 724: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 727: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 730: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 733: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 737: NOT RECOGNIZED — face never detected (4 looks)
track 739: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 742: IDENTIFIED as 19 (CANDIDATE, conf=0.44)
track 743: NOT RECOGNIZED — best sim 0.42 -> 15 (threshold 0.45)
track 745: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 746: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 750: IDENTIFIED as 11 (UNKNOWN, conf=0.52)
track 751: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
